x,y,z
0.658651735,-0.931671495,1
0.561936115,2.317900419,1
0.895037823,1.261443023,1
1.580601551,-0.799529397,1
-2.041825607,-1.094862111,-1
-0.537642593,-0.978913301,-1
-0.935403661,1.724520298,-1
0.479311113,-0.366927021,1
-1.487984209,-2.006212292,-1
0.55720409,-0.489996302,1
2.374749083,-0.445185383,1
-2.007118381,-0.412508197,-1
-0.427325817,0.449536437,-1
1.11194621,-0.168202245,1
-0.859476611,-2.207959923,-1
1.857383941,0.769172841,1
-0.713428865,-0.630310878,-1
0.728097562,-0.385430057,1
0.277954485,0.17327975,1
-1.532045416,-0.785720201,-1
-0.062085697,-1.249590619,-1
0.050630849,-0.331933851,1
0.672803267,-2.196836085,1
0.864371635,-1.27415136,1
0.185043926,0.088596331,1
1.496367296,-1.738809487,1
0.964047106,2.173295472,1
-0.275123487,-1.702320008,-1
-2.258331417,-1.735191372,-1
-0.287480382,0.422746809,-1
-1.173129059,1.840562917,-1
-1.868546241,-1.541516047,-1
-0.367134965,0.690800897,-1
2.19486817,-0.403911155,1
0.551142784,1.146158497,1
0.486018928,0.043532423,1
0.457580083,0.372425223,1
1.620028582,1.160694715,1
0.066568377,0.071227513,1
-1.096552373,0.661991158,-1
-0.014346646,-0.012358772,-1
-1.503926998,-1.276127725,-1
-0.395421571,1.404041006,-1
-0.009628562,0.478065868,-1
-0.797526786,1.774019787,-1
-1.002769372,-2.142273732,-1
1.669208928,-2.127271711,1
0.008386081,-1.626605968,1
1.839333804,0.342824584,1
-0.318301741,1.207794487,-1
-0.006058776,-0.071386938,-1
-0.033931816,-0.093248332,-1
-0.001536524,0.00590116,-1
-1.420742878,0.373539842,-1
-1.549786519,0.091866713,-1
0.063452838,2.188244702,1
-1.108030029,2.152858741,-1
-0.001382932,0.000231016,-1
-1.327633622,1.058311686,-1
0.147957027,-0.118916336,1
-1.735834012,-2.27409125,-1
0.361401017,-0.319748408,1
-0.484112312,-0.296632751,-1
-0.310446188,-0.465852298,-1
0.657629977,-0.898220441,1
-2.373053711,1.002936602,-1
-0.396940308,-0.02159291,-1
0.113289104,0.980062847,1
2.74778064,0.364024162,1
-0.048542407,2.866319938,-1
1.051487766,-0.308639218,1
2.569490962,0.461660244,1
0.280236553,0.628991783,1
-0.449489024,-1.017995973,-1
0.773627082,-1.519577312,1
0.791716636,2.014321704,1
-0.017571001,-0.706288435,-1
-1.448081741,1.206785883,-1
-1.182002472,-1.039745904,-1
-0.157489029,1.792765045,-1
-1.381416971,0.674274668,-1
-0.641737913,-0.351206375,-1
-0.590547294,-0.893570463,-1
-1.638267558,0.139057184,-1
0.16104939,0.95240026,1
0.630560616,0.77477409,1
-2.857108225,0.582073083,-1
0.127012058,1.322420354,1
-0.38424585,2.125984106,-1
0.173000831,1.34672622,1
-0.553335915,-2.322463651,-1
2.537710861,0.003424307,1
-0.952035419,2.712682584,-1
-0.259053154,-2.10651825,-1
0.088577574,0.078808439,1
0.406591589,-0.124387494,1
0.42113044,0.438872375,1
0.232084576,-0.149983904,1
-0.976886178,0.147013835,-1
-0.120465132,1.401365278,-1
1.769176035,2.315415502,1
0.206907206,2.157693411,1
2.835662612,0.757256839,1
-0.018621567,0.122481227,-1
0.93923572,-0.272178036,1
-0.61168671,-0.782286571,-1
-0.182037295,2.659321239,-1
1.982335675,1.071574898,1
-1.037184829,5.982353695,1
5.148953535,4.172801442,-1
-1.785611433,-6.019715455,1
-5.299701299,5.792422458,1
5.408697244,-4.235718641,-1
6.663813538,4.865598626,-1
6.518193616,-3.63445172,-1
-7.215353557,-0.148320315,1
8.540428066,1.106625753,-1
6.000270948,2.362243803,-1
7.142028012,0.417738551,-1
-6.496871745,0.282788096,1
-0.107733661,7.137514447,1
2.323950647,-6.988519144,-1
6.777525214,-0.309310321,-1
2.10791167,6.942974887,-1
5.106222595,-3.592491565,-1
1.370507749,-8.262905194,-1
-3.023620364,5.469796274,1
-2.443717493,6.365980455,1
8.319722106,-2.516440724,-1
-7.837026798,-2.395511433,1
-2.976762935,-6.98162411,1
4.242553118,5.590499013,-1
-5.757135076,3.579248685,1
-0.817872077,6.188102586,1
-5.417765295,4.612866117,1
7.34140896,1.296002123,-1
8.548571936,-0.62081935,-1
6.587348164,4.172251948,-1
6.830537009,-4.872896882,-1
2.638535163,-6.590099924,-1
5.221038776,-6.968867715,-1
-0.192930349,7.997277296,1
5.471500356,3.346478332,-1
-7.371233175,-4.197046923,1
-2.844840268,-7.891138995,1
7.373730112,-1.046518528,-1
7.654858881,-1.499900366,-1
2.67470342,6.064589021,-1
6.617653287,0.429271202,-1
5.946951227,-1.377473757,-1
6.975093596,3.840507682,-1
-5.3589892,-6.481516167,1
-6.941849695,-1.760468368,1
8.149527605,-2.318650039,-1
-0.399681951,6.590637824,1
-7.48612446,-2.801331919,1
-4.271770083,-5.101436185,1
-1.356460051,8.122738503,1
5.986162043,-4.985735485,-1
0.5354605,-7.469834721,-1
4.853356916,-4.666509035,-1
3.834036757,-4.942881437,-1
-4.979059385,-3.596010539,1
-1.182684945,7.387336339,1
7.784341266,-2.937712624,-1
-3.046305046,7.370537723,1
7.673499444,-1.241183075,-1
-3.620187036,-4.915146256,1
-0.849652805,-8.93907774,1
-1.851338375,-8.728900435,1
-5.296000971,-3.317363595,1
4.871335805,4.953429001,-1
-6.376749733,-3.673992015,1
-5.881795171,2.972800885,1
-5.964504085,-2.942233608,1
6.769366019,3.683496952,-1
8.128661262,-1.989076638,-1
-7.400483286,-1.908360861,1
1.745016037,7.795914803,-1
-6.821811827,-0.102825865,1
4.680310834,-4.708853371,-1
-4.496551609,-5.123479244,1
-6.34858217,5.640531858,1
-3.801323567,-6.217150255,1
3.023952072,5.63036296,-1
-6.207884965,-2.866625438,1
3.243703234,-6.65522948,-1
3.666076145,-7.983640716,-1
-7.326268789,0.430829488,1
-6.538319437,-5.795111808,1
0.898640431,7.616044975,-1
6.221939628,-4.738333788,-1
-6.009819723,-1.048826678,1
-7.582392921,4.718964775,1
7.073952951,-1.107687349,-1
-3.668409107,-5.617847503,1
0.067102476,-6.197454326,-1
4.810277815,-6.415518881,-1
-8.235384147,0.625387066,1
6.645998774,1.007534524,-1
7.471910449,-1.467893813,-1
8.541338687,-1.670926768,-1
2.573712892,6.930385418,-1
-6.803471789,5.317140307,1
5.072978848,5.52123391,-1
8.664150804,-1.010338807,-1
-0.634061776,-6.2615262,1
1.879656491,8.792989995,-1
-3.420624717,5.346609428,1
-7.357130363,3.773874298,1
6.511678909,3.682312001,-1
-3.36810355,-6.911385829,1
4.856124507,3.876742968,-1
4.965014025,7.40853103,-1
-4.781797991,5.141813751,1
-6.617571116,-2.578155741,1
1.530562202,6.550071349,-1
0.499709335,-8.051756955,-1
-8.469925358,-1.84938176,1
3.34570022,8.290772499,-1
-0.480740248,6.832269568,1
-5.914732736,3.979045163,1
-3.625966402,5.824713589,1
-0.47158091,7.041276282,1
2.337298112,6.831774253,-1
7.896969106,2.167636589,-1
5.884514296,-4.484690228,-1
6.780936558,4.689632378,-1
-4.697033443,6.934030621,1
0.190536914,-8.792989429,-1
0.581795816,8.906369223,-1
-5.820270127,2.581900908,1
0.279048572,-6.311084996,-1
5.919359483,-5.24117846,-1
-0.005783059,-7.050559013,1
7.343616701,4.590331676,-1
6.832846977,-3.009542671,-1
3.899185628,-5.084436936,-1
8.585039842,-0.146255829,-1
-8.149160064,0.316661318,1
-3.8472263,5.23041002,1
-5.085484588,-3.922958291,1
-6.747167337,-2.107738812,1
6.221039104,2.742615148,-1
-6.178962027,3.745169992,1
2.950154949,-8.246118463,-1
-4.378533442,7.852158556,1
5.935805525,6.724998272,-1
-3.158957364,-7.037308607,1
7.059978076,4.19164441,-1
-3.483419795,-6.131659458,1
-6.527045979,0.353511914,1
-8.417005,1.167063226,1
-6.200558178,-4.831457453,1
8.269335259,1.884973522,-1
8.381797439,2.056433613,-1
-5.444981297,-2.965256022,1
6.475042481,-4.7373823,-1
1.171808338,-8.73821932,-1
3.803114733,-6.780374608,-1
7.145581415,-1.228684163,-1
7.301627164,4.816280295,-1
4.007841765,-7.921078138,-1
2.338431351,-7.535098259,-1
1.618288406,6.431306478,-1
-5.985257771,0.723909459,1
5.672883998,-3.867350008,-1
-7.831936743,1.706387851,1
0.750675518,6.458650016,-1
-7.177229163,-1.667393693,1
-5.292287309,-6.661122222,1
5.346160249,-4.312967648,-1
-0.605485699,-6.824349453,1
-3.656814924,7.102327894,1
-0.768923936,-8.306879987,1
-8.075249186,-0.913502629,1
-8.110500392,-0.498601034,1
0.451424235,6.184358118,-1
-7.315268759,-1.738679034,1
6.193308648,-1.181770541,-1
1.320794189,7.81548257,-1
-2.135382269,-6.63667135,1
1.619206308,6.517302318,-1
6.091861908,-0.998663038,-1
-3.559900466,-4.8866814,1
6.124365334,-5.206422672,-1
3.584233947,-6.346153793,-1
-8.073273493,1.042265672,1
6.644279606,-2.714299636,-1
-8.467841719,-2.330652602,1
-6.712063988,-1.701917595,1
2.625331946,7.200391858,-1
4.831732663,-3.952320266,-1
6.581709148,0.350144155,-1
3.365037237,7.383954625,-1
6.240562074,-2.908603096,-1
-2.453676149,6.580655593,1
-8.668648096,0.087205446,1
7.782105806,1.861179078,-1
-0.500885692,6.382641917,1
-6.747713473,-2.596236505,1
2.744370186,-5.702045687,-1
5.989752067,-0.966823872,-1
-7.685562985,4.053862473,1
-6.934716545,2.047514737,1
-3.419500259,6.26759374,1
1.65268376,6.941596366,-1
6.673298615,4.136094852,-1
1.195710239,-5.901788246,-1
